,885009.WI,H11001.CSI,000300.SH,399005.SZ,HSI.HI
2006/5/18,1049.7891,113.3,1331.201,1973.587,16821.04567
2006/5/19,1049.8277,113.34,1366.097,2107.811,16862.30456
2006/5/22,1050.0458,113.3,1373.674,2121.523,16351.60072
2006/5/23,1050.0867,113.33,1317.654,1972.792,16402.36858
2006/5/24,1050.126,113.39,1308.242,1924.736,16367.57172
2006/5/25,1050.1643,113.42,1307.697,1957.637,16243.61268
2006/5/26,1050.2019,113.39,1331.02,2020.898,16439.03032
2006/5/29,1050.4172,113.34,1366.292,2063.195,16523.45978
2006/5/30,1050.4566,113.4,1378.756,2079.216,16413.39189
2006/5/31,1050.4976,113.35,1365.451,2085.919,16391.34942
2006/6/1,1050.5359,113.28,1402.879,2195.069,16175.64465
2006/6/2,1050.5738,113.17,1390.116,2225.94,16453.42389
2006/6/5,1050.7916,113.17,1403.163,2298.224,16535.47618
2006/6/6,1050.8304,113.06,1399.142,2210.479,16500.38236
2006/6/7,1050.8711,113.09,1320.233,2038.093,16360.63932
2006/6/8,1050.91,113.05,1325.979,2067.085,15959.50013
2006/6/9,1050.951,112.94,1294.185,2091.361,16143.96791
2006/6/12,1051.167,112.94,1297.67,2141.834,16134.44809
2006/6/13,1051.2088,112.88,1298.276,2152.21,15716.43705
2006/6/14,1051.2486,112.87,1283.88,2156.921,15723.19767
2006/6/15,1051.2922,112.96,1285.385,2168.738,15909.55436
2006/6/16,1051.3373,112.81,1318.01,2232.634,16325.05869
2006/6/19,1051.5393,112.65,1334.893,2218.648,16251.22943
2006/6/20,1051.5842,112.58,1338.223,2240.221,16085.66794
2006/6/21,1051.6283,112.57,1333.532,2222.554,16125.38255
2006/6/22,1051.6733,112.5,1331.553,2192.131,16299.127
2006/6/23,1051.7202,112.42,1339.446,2190.481,16288.92356
2006/6/26,1051.9233,112.49,1363.413,2213.585,16283.06355
2006/6/27,1051.9655,112.6,1363.896,2231.562,16251.88468
2006/6/28,1052.0143,112.69,1362.885,2226.897,16214.78237
2006/6/29,1052.0605,112.69,1395.124,2264.382,16341.81121
2006/6/30,1052.107,112.73,1393.963,2231.107,16746.21338
2006/7/3,1052.2982,112.71,1420.328,2240.582,16801.11274
2006/7/4,1052.343,112.73,1411.013,2223.79,16843.51673
2006/7/5,1052.3863,112.71,1393.009,2224.113,16739.74158
2006/7/6,1052.4313,112.71,1418.675,2285.19,16916.62784
2006/7/7,1052.4832,112.79,1410.429,2256.15,16932.50488
2006/7/10,1052.6761,112.82,1412.124,2279.941,17080.00727
2006/7/11,1052.7189,112.82,1418.575,2314.494,16958.11989
2006/7/12,1052.7666,112.87,1419.199,2289.536,16983.17966
2006/7/13,1052.8126,112.93,1346.088,2167.15,16765.29454
2006/7/14,1052.8661,112.88,1357.129,2186.492,16588.63938
2006/7/17,1053.047,112.95,1372.254,2201.121,16522.18543
2006/7/18,1053.0958,112.96,1373.416,2196.701,16511.94173
2006/7/19,1053.1468,112.93,1336.644,2158.759,16568.39305
2006/7/20,1053.1927,112.8,1345.194,2170.061,16933.02973
2006/7/21,1053.249,112.73,1356.033,2194.895,16916.45102
2006/7/24,1053.434,112.59,1358.122,2181.153,16921.61059
2006/7/25,1053.4813,112.61,1374.17,2197.733,17030.13167
2006/7/26,1053.5308,112.67,1371.295,2187.733,17064.5761
2006/7/27,1053.5735,112.75,1355.545,2160.9,17360.49688
2006/7/28,1053.6256,112.76,1341.393,2123.43,17411.13058
2006/7/31,1053.8045,112.77,1294.328,2005.555,17410.89771
2006/8/1,1053.8505,112.77,1282.057,1988.354,17351.23473
2006/8/2,1053.8996,112.73,1275.088,1987.386,17466.06316
2006/8/3,1053.9423,112.81,1271.744,1963.958,17494.91812
2006/8/4,1053.9936,112.73,1241.908,1898.848,17330.59812
2006/8/7,1054.1754,112.71,1224.102,1868.78,17383.15296
2006/8/8,1054.2218,112.66,1252.386,1909.421,17481.56524
2006/8/9,1054.2791,112.66,1251.298,1901.601,17793.25444
2006/8/10,1054.3239,112.76,1271.473,1924.529,17648.21574
2006/8/11,1054.3717,112.78,1275.654,1954.972,17683.78624
2006/8/14,1054.5504,112.84,1245.721,1902.566,17769.63488
2006/8/15,1054.5992,112.83,1265.863,1929.381,17751.69804
2006/8/16,1054.6473,112.91,1283.567,1960.88,17906.8509
2006/8/17,1054.6879,112.96,1271.627,1936.02,17816.06277
2006/8/18,1054.7345,113.04,1267.866,1912.582,17771.59301
2006/8/21,1054.9068,112.92,1270.562,1933.074,17436.98881
2006/8/22,1054.9556,113.01,1285.268,1962.444,17570.94786
2006/8/23,1055.0045,113.02,1285.68,1968.44,17512.69472
2006/8/24,1055.0467,113.03,1292.401,2001.004,17304.44068
2006/8/25,1055.0939,113.07,1295.437,2012.058,17380.18402
2006/8/28,1055.2613,113.05,1325.894,2043.597,17340.43979
2006/8/29,1055.3131,113.05,1330.155,2096.535,17499.77037
2006/8/30,1055.3647,113.04,1334.671,2092.829,17689.17221
2006/8/31,1055.408,113.13,1338.694,2098.451,17798.20558
2006/9/1,1055.4591,113.07,1318.099,2091.635,17829.3442
2006/9/4,1055.6277,113.1,1337.243,2149.475,17902.16272
2006/9/5,1055.6797,113.14,1340.682,2114.939,17809.3745
2006/9/6,1055.7345,113.15,1346.367,2107.924,17635.60844
2006/9/7,1055.782,113.15,1328.377,2097.076,17479.57122
2006/9/8,1055.8323,113.16,1332.153,2114.579,17543.37017
2006/9/11,1056.001,113.23,1338.755,2115.669,17347.39032
2006/9/12,1056.0544,113.25,1347.639,2117.522,17461.98706
2006/9/13,1056.1091,113.25,1338.386,2097.355,17599.159
2006/9/14,1056.1598,113.3,1338.278,2076.386,17549.80115
2006/9/15,1056.2096,113.34,1362.322,2092.197,17599.12352
2006/9/18,1057.1215,113.42,1375.563,2114.746,17743.12619
2006/9/19,1057.1754,113.48,1378.309,2130.626,17679.58317
2006/9/20,1057.2297,113.55,1378.459,2139.227,17835.02333
2006/9/21,1057.2817,113.55,1387.37,2166.858,17941.18205
2006/9/22,1057.3333,113.62,1374.852,2180.923,17911.47748
2006/9/25,1057.4985,113.71,1372.399,2193.251,17852.56932
2006/9/26,1057.5546,113.79,1357.646,2155.326,17599.54807
2006/9/27,1057.6073,113.84,1371.117,2156.464,17789.41389
2006/9/28,1057.6583,113.96,1387.002,2182.541,17780.55593
2006/9/29,1057.7101,114.13,1403.265,2202.39,17813.3884
2006/10/9,1057.5663,114.29,1436.074,2240.167,17956.09956
2006/10/10,1057.6169,114.23,1437.245,2239.859,18109.43146
2006/10/11,1057.6671,114.33,1435.906,2261.734,18141.44952
2006/10/12,1057.7218,114.35,1426.5,2215.937,18161.38294
2006/10/13,1057.7744,114.41,1430.882,2209.761,18272.9041
2006/10/16,1057.944,114.44,1418.517,2187.213,18303.94636
2006/10/17,1057.9969,114.47,1414.448,2178.349,18313.88634
2006/10/18,1058.0509,114.49,1437.593,2197.142,18341.55194
2006/10/19,1058.1038,114.56,1439.377,2215.996,18273.6823
2006/10/20,1058.1589,114.56,1440.182,2193.962,18371.84922
