date,code,fundlist
20170801,zh081,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170801,zh082,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170801,zh091,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170801,zh092,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20170801,zh101,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20170801,zh102,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20171101,zh011,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/519068.OF-13.0
20171101,zh012,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/110030.OF-13.0
20171101,zh021,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0
20171101,zh022,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0
20171101,zh031,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/519068.OF-13.0/000527.OF-13.0/460009.OF-13.0
20171101,zh032,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/110030.OF-13.0/000311.OF-13.0/000478.OF-13.0
20171101,zh041,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/519068.OF-13.0/000527.OF-13.0/460009.OF-26.0
20171101,zh042,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/110030.OF-13.0/000311.OF-13.0/000478.OF-26.0
20171101,zh051,000009.OF-0.0/110037.OF-17.5/519152.OF-17.5/519068.OF-13.0/000527.OF-13.0/460009.OF-26.0/002121.OF-13.0
20171101,zh052,000009.OF-0.0/110037.OF-17.5/519152.OF-17.5/110030.OF-13.0/000311.OF-13.0/000478.OF-26.0/110031.OF-13.0
20171101,zh061,000009.OF-0.0/110037.OF-11.0/519152.OF-11.0/519068.OF-19.5/000527.OF-19.5/460009.OF-26.0/002121.OF-13.0
20171101,zh062,000009.OF-0.0/110037.OF-11.0/519152.OF-11.0/110030.OF-19.5/000311.OF-19.5/000478.OF-26.0/110031.OF-13.0
20171101,zh071,000009.OF-0.0/110037.OF-9.0/519068.OF-19.5/000527.OF-19.5/460009.OF-19.5/001938.OF-19.5/002121.OF-13.0
20171101,zh072,000009.OF-0.0/110037.OF-9.0/110030.OF-19.5/000311.OF-19.5/000478.OF-19.5/160119.SZ-19.5/110031.OF-13.0
20171101,zh081,000009.OF-0.0/110037.OF-0.0/519068.OF-19.5/000527.OF-19.5/460009.OF-24.0/001938.OF-24.0/002121.OF-13.0
20171101,zh082,000009.OF-0.0/110037.OF-0.0/110030.OF-19.5/000311.OF-19.5/000478.OF-24.0/160119.SZ-24.0/110031.OF-13.0
20171101,zh091,110037.OF-0.0/519068.OF-26.0/000527.OF-26.0/460009.OF-17.5/001938.OF-17.5/002121.OF-13.0
20171101,zh092,110037.OF-0.0/110030.OF-26.0/000311.OF-26.0/000478.OF-17.5/160119.SZ-17.5/110031.OF-13.0
20171101,zh101,110037.OF-0.0/519068.OF-26.0/000527.OF-26.0/460009.OF-17.5/001938.OF-17.5/002121.OF-13.0
20171101,zh102,110037.OF-0.0/110030.OF-26.0/000311.OF-26.0/000478.OF-17.5/160119.SZ-17.5/110031.OF-13.0
20180201,zh011,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/519068.OF-13.0
20180201,zh012,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/110030.OF-13.0
20180201,zh021,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0
20180201,zh022,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0
20180201,zh031,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20180201,zh032,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20180201,zh041,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20180201,zh042,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20180201,zh051,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0/002121.OF-13.0
20180201,zh052,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0/110031.OF-13.0
20180201,zh061,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/002121.OF-13.0
20180201,zh062,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/110031.OF-13.0
20180201,zh071,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180201,zh072,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180201,zh081,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180201,zh082,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180201,zh091,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180201,zh092,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180201,zh101,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180201,zh102,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180502,zh011,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/519068.OF-13.0
20180502,zh012,000009.OF-0.0/110037.OF-43.5/519152.OF-43.5/110030.OF-13.0
20180502,zh021,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0
20180502,zh022,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0
20180502,zh031,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20180502,zh032,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20180502,zh041,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0
20180502,zh042,000009.OF-0.0/110037.OF-37.0/519152.OF-37.0/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0
20180502,zh051,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/519068.OF-13.0/000527.OF-13.0/460009.OF-0.0/002121.OF-13.0
20180502,zh052,000009.OF-0.0/110037.OF-30.5/519152.OF-30.5/110030.OF-13.0/000311.OF-13.0/000478.OF-0.0/110031.OF-13.0
20180502,zh061,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/002121.OF-13.0
20180502,zh062,000009.OF-0.0/110037.OF-24.0/519152.OF-24.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/110031.OF-13.0
20180502,zh071,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180502,zh072,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180502,zh081,000009.OF-0.0/110037.OF-48.0/519068.OF-19.5/000527.OF-19.5/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180502,zh082,000009.OF-0.0/110037.OF-48.0/110030.OF-19.5/000311.OF-19.5/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180502,zh091,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180502,zh092,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
20180502,zh101,110037.OF-35.0/519068.OF-26.0/000527.OF-26.0/460009.OF-0.0/001938.OF-0.0/002121.OF-13.0
20180502,zh102,110037.OF-35.0/110030.OF-26.0/000311.OF-26.0/000478.OF-0.0/160119.SZ-0.0/110031.OF-13.0
